ID,SURFACE,ROUNDNESS,SHORT_AXIS,LONG_AXIS,VOLUME,PIXEL_SCALE
1822,44.0,0.5022023511757521,2.652105356643166,5.280949701717002,155.59018092306573,14.188
1823,31.0,0.7373275654537654,2.69734281407324,3.658269323503786,111.49016964836055,14.188
1824,156.0,0.5529115024727008,5.239805606871297,9.476752759597373,1089.8795662292298,14.188
1825,63.0,0.37748367138059613,2.7513410224514177,7.288635856456399,231.11264588591908,14.188
1826,34.0,0.7805135545927725,2.906395730923314,3.7236966787075283,131.7566064685236,14.188
1827,32.0,0.7151442132650293,2.6989626044353443,3.7740116669798467,115.15573778924136,14.188
1828,19.0,0.9443285074976796,2.3898102215640913,2.5306979537202667,60.54185894629031,14.188
1829,55.0,0.4677513452908208,2.861632971137457,6.1178508623171535,209.85308455008013,14.188
1830,64.0,0.472898990103506,3.1038394156015383,6.56342999362757,264.86096346466456,14.188
1831,15.0,0.7581481057659162,1.9026009983315155,2.509537363295817,38.05201996663031,14.188
1832,270.0,0.748176039397183,8.018790063682195,10.717785175455575,2886.7644229255898,14.188
1833,22.0,0.5987217219722719,2.0476178720378115,3.4199826010866543,60.0634575797758,14.188
1834,21.0,0.7725020586865854,2.272398708396634,2.9416086117106093,63.62716383510576,14.188
1835,13.0,0.669853275810065,1.6648939785398453,2.4854606802160677,28.858162294690654,14.188
1836,12.0,0.7618275392321925,1.7058624937714408,2.239171473757293,27.293799900343053,14.188
1837,18.0,0.6893365229201353,1.9873619053294467,2.883006832295316,47.69668572790671,14.188
1838,23.0,0.6502478820010741,2.1818679094191964,3.355440240273774,66.91061588885535,14.188
1839,25.0,0.7135713015238979,2.3829435566757105,3.339461034358742,79.43145188919036,14.188
1840,14.0,0.6592017567458942,1.7139504386846098,2.6000392461716313,31.993741522112717,14.188
1841,142.0,0.2725574032325519,3.509928157699733,12.87775755151654,664.5463978578161,14.188
1842,15.0,1.0563381178665703,2.2458056440942555,2.1260291625469216,44.916112881885105,14.188
1843,56.0,0.6306940865372165,3.3529606503114926,5.3163026606459844,250.3543952232581,14.188
1844,30.0,0.5576050689004481,2.3075389878648185,4.138303463444294,92.30155951459273,14.188
1845,11.0,0.794878909025622,1.6682913311769787,2.0987993419299587,24.468272857262352,14.188
1846,160.0,0.7858432757212828,6.326347238691708,8.05039304164701,1349.6207442542309,14.188
1847,38.0,0.8890964660054606,3.2793766795266337,3.6884374248614917,166.15508509601608,14.188
1848,24.0,0.3312991918841134,1.5908926404613024,4.801981651128772,50.90856449476168,14.188
1849,20.0,0.9293719304635979,2.432399117777663,2.617250465660515,64.86397647407101,14.188
1850,55.0,0.2790242745723346,2.2101787664100616,7.92109851301519,162.0797762034045,14.188
1851,29.0,0.6841081965223519,2.5129651137650946,3.6733445477479947,97.16798439891699,14.188
1852,23.0,0.7806644598263474,2.3906785549643152,3.062363765728624,73.31414235223899,14.188
1853,20.0,0.5740484872566004,1.9116762730265067,3.3301651610693725,50.97803394737351,14.188
1854,21.0,0.5979447983667687,1.9992414949071642,3.3435218441031824,55.97876185740059,14.188
1855,47.0,0.2700674787998456,2.0100651672570073,7.4428256826388255,125.96408381477247,14.188
1856,17.0,0.9199155710711301,2.2311229801039474,2.4253562503633628,50.57212088235614,14.188
1857,18.0,0.973968130232862,2.362292599205084,2.425431105882585,56.69502238092202,14.188
1858,22.0,0.8238608818874582,2.4019465851652972,2.9154759474226504,70.45709983151538,14.188
1859,55.0,0.8019080164416497,3.746870523435203,4.672444278661033,274.7705050519149,14.188
1860,50.0,0.4344459875850218,2.629528977413947,6.052602745926718,175.30193182759643,14.188
1861,13.0,1.079208055471759,2.1132424643130743,1.9581418555936398,36.629536048093286,14.188
1862,25.0,0.9636876519321456,2.7692566999252963,2.8736040089058683,92.30855666417654,14.188
1863,42.0,0.7975563207272555,3.2653548950130875,4.094199757624087,182.85987412073288,14.188
1864,30.0,0.8253497480997386,2.8074026307929976,3.4014702703389443,112.29610523171992,14.188
1865,10.0,0.7859503362562733,1.5816945409270604,2.0124611797498106,21.089260545694138,14.188
1866,12.0,1.0701157263143137,2.0217667967792736,1.8892973414591625,32.34826874846837,14.188
1867,16.0,1.1983431009272119,2.47044759042655,2.0615528128088303,52.70288192909973,14.188
1868,28.0,0.7462130095585968,2.578905850929984,3.455991543829381,96.27915176805274,14.188
1869,94.0,0.5265232081454563,3.969152175344632,7.538418276613026,497.46707264319383,14.188
1870,119.0,0.4810744024641753,4.26878880445291,8.87344822877122,677.3144903065285,14.188
1871,24.0,0.5835188790086772,2.1113398284312934,3.6182888067275316,67.56287450980138,14.188
1872,152.0,0.6175076397068527,5.465979834387595,8.851679692549943,1107.7719131025526,14.188
1873,51.0,0.48398849994462184,2.803029529083389,5.791520933667044,190.60600797767046,14.188
1874,51.0,0.5600536483780414,3.015261392760764,5.383879564918815,205.03777470773196,14.188
1875,28.0,0.8628721439253253,2.7731751747541926,3.213888864390306,103.5318731908232,14.188
1876,118.0,0.5585089105373922,4.580164965806717,8.200701688715627,720.6126212869234,14.188
1877,52.0,0.7443977792354685,3.5101790501288166,4.7154614750919,243.3724141422646,14.188
1878,58.0,0.4188828086890529,2.7808997233221517,6.638849018476867,215.05624527024636,14.188
1879,93.0,0.7084957720755819,4.579680381545203,6.463948780002945,567.8803673116053,14.188
1880,25.0,0.8604830400729584,2.61677405668079,3.0410524493997233,87.22580188935967,14.188
1881,21.0,0.4239706394287475,1.683459226004154,3.970697660272949,47.13685832811631,14.188
1882,40.0,0.6265749920266181,2.824500057692351,4.507840392028223,150.64000307692535,14.188
1883,299.0,0.71720942634355,8.261970734028159,11.519607008163607,3293.7723326325586,14.188
1884,21.0,0.9942218738441698,2.5779611481944853,2.5929435028690024,72.18291214944558,14.188
1885,13.0,0.6221768860726917,1.6045515570700084,2.578931479114031,27.81222698921347,14.188
1886,37.0,0.7354872121552214,2.943157399674403,4.001643197914993,145.19576505060388,14.188
1887,92.0,0.6495390163854694,4.361356614029434,6.714541396295713,534.9930779876106,14.188
1888,109.0,0.5683942402203732,4.440819760406353,7.8129218175831525,645.39913851239,14.188
1889,64.0,0.7138899499830058,3.8135608869556448,5.341945053360714,325.4238623535484,14.188
1890,24.0,0.6705754139903833,2.2633644887464,3.375257191846373,72.42766363988478,14.188
1891,16.0,0.8304441361839532,2.056554705212426,2.476451594519869,43.87316704453175,14.188
